plan_id,state,metal_level,rate,rate_area
74449NR9870320,GA,Silver,298.62,7
26325VH2723968,FL,Silver,421.43,60
83407VS2632442,WI,Silver,296.58,7
01105LC3358204,SC,Gold,350.11,32
44212UC9532847,AL,Gold,349.75,4
45458LY0197391,FL,Bronze,369.5,48
86260RI3484137,SC,Gold,511.37,24
51418KN7347576,IL,Silver,228.65,1
24022TW6469836,FL,Platinum,517.95,11
88474PE9741208,AL,Catastrophic,205.98,3
41811HX2367033,TX,Gold,289.91,10
82439AC5638070,GA,Gold,448.75,2
16821OI1280908,WI,Bronze,284.58,11
22543ON7280897,OK,Silver,331.81,5
35358UY1368393,AR,Bronze,292.61,5
60564RP4229702,UT,Bronze,185.53,4
52026PX3351524,OH,Gold,301.42,1
66503WO8375109,FL,Platinum,419.18,7
76327WC8397010,GA,Silver,350.82,11
47913VF7461947,WI,Silver,269.29,16
33972KU3391927,FL,Platinum,417.62,53
74904JH3751877,AR,Bronze,229.33,2
32687BF4673406,AZ,Silver,380.4,3
41631LL2827989,WV,Silver,324.87,1
26664YJ6851288,AZ,Gold,349.69,1
43079OT6936194,WI,Silver,418.74,12
91003HY6782854,TN,Gold,355.4,5
42716PL8201504,FL,Silver,432.85,32
51868EQ6233414,MS,Bronze,285.33,4
25557EK8236373,NC,Gold,466.24,3
05183YK1119520,FL,Bronze,303.46,37
26224BI9697280,KS,Gold,289.14,2
32497FU0228801,MT,Bronze,203.69,4
75595YL1202811,OR,Catastrophic,163.1,4
99725YU6499764,TX,Gold,331.35,11
61075PQ2113130,OH,Bronze,387.85,10
46841LA6197962,MI,Silver,329.8943491,1
92552BE4840671,MI,Gold,430.0182487,15
57771NU1058381,PA,Gold,236.36,6
27326TR4236919,FL,Bronze,247.28,10
95109YW8988080,LA,Platinum,479.46,5
73206OW0686780,TX,Silver,279.62,19
46741WF5874927,TX,Gold,305.44,10
89608AX0852032,IL,Bronze,261.15,2
29216GD6676578,MI,Bronze,251.36,11
92896XP9566117,IL,Silver,306.03,11
37881FP4025809,LA,Silver,383.65,8
49610QY1439120,OH,Bronze,279.68,1
60549PY8422849,FL,Bronze,324.18,8
98225CJ3513620,MI,Platinum,355.68,14
