plan_id,state,metal_level,rate,rate_area
74449NR9870320,AZ,Silver,298.62,7
74451NR9870308,AZ,Silver,294.60,7
26325VH2723968,AZ,Silver,421.43,13
26325VH2723968,AZ,Silver,413.80,13
09846WB8636633,AZ,Silver,361.69,13
78590JQ3204809,AZ,Gold,379.97,2
21163YD2193896,AZ,Gold,359.75,2
36956VI7724021,AZ,Silver,310.42,4
39287DQ4265604,AZ,Platinum,410.72,4
36962VI7723931,AZ,Silver,298.6,4
39279DQ4265612,AZ,Platinum,420.79,4
12654WJ5898785,AZ,Bronze,332.97,1
97573AL3146346,AZ,Gold,338.17,23
48279KR8882106,AZ,Gold,356.81,9
72516MB1294942,IN,Gold,290.53,4
47733MN6034814,IN,Silver,426.97,4
72190DW3284384,IN,Silver,353.37,4
72207DW3284377,IN,Silver,365.41,4
39103VX4715005,IN,Bronze,294.39,14
80895CM6393587,IN,Platinum,325.2669285,1
